#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, June 1, 2020","Tuesday, June 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
   Bread,466,5.76,1.255,88.57,4.2,7.54,13.37,1192,0,175
   175 g
   Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
 Lunch,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Dinner,533,15.71,4.519,85.09,10.5,11.46,20.27,656,17,1068
  Pasta Puttanesca with Linguini,373,9.76,1.209,63.19,4.4,4.78,11.45,515,2,262
   2/3 servings
  Broccoli,77,0.84,0.088,15.06,5.9,3.86,6.4,75,0,717
   8 oz
  Bechamel Sauce,83,5.11,3.222,6.84,0.2,2.82,2.42,66,15,89
   65 g
 Snacks/Other,55,0,0.009,13.52,1.65,10.45,0.55,19.5,0,175
  Tea (Brewed),5,0,0.009,1.42,0,0,0,14,0,175
   2 cups (8 fl oz)
  Nature's Original Sun Dried Apricots,50,0,,12.1,1.65,10.45,0.55,5.5,0,
   22 g

"Tuesday, June 23, 2020",1524,72.07,13.8,190.06,33.2,45.41,47.48,3965,24,4608
 Breakfast,305,15.66,5.562,29.14,3.6,13.24,12.23,316,24,505
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
  Hummus,159,7.73,1.011,18.11,3.6,0.41,4.37,218,0,156
   6 tbsps
 Lunch,,,,,,,,,,
 Dinner,763,37.81,5.473,96.04,19.5,19.16,22.25,1855,0,2541
  roasted brussel sprouts with garlic,228,14.18,2.005,22.6,8.2,4.7,7.8,54,0,857
   2 servings
  fried rice #1,456,18.6,2.765,64.88,10.1,13.01,13,1794,0,1562
   2 servings
  Corn,39,0.53,0.082,8.56,1.2,1.45,1.45,7,0,122
   1/2 medium ear (6-3/4" to 7-1/2" long)
  Olive Oil,40,4.5,0.621,0,0,0,0,0,0,0
   1 tsp
 Snacks/Other,456,18.6,2.765,64.88,10.1,13.01,13,1794,0,1562
  fried rice #1,456,18.6,2.765,64.88,10.1,13.01,13,1794,0,1562
   2 servings

"Wednesday, June 24, 2020",1450,65.1,20.144,172.97,27.9,20.13,41.38,4554,0,1769
 Breakfast,319,15.46,2.021,36.22,7.2,0.83,8.75,436,0,311
  Hummus,319,15.46,2.021,36.22,7.2,0.83,8.75,436,0,311
   12 tbsps
 Lunch,90,7.5,0,3,3,0,3,480,0,105
  Silk Pure Almond Milk - Unsweetened Original,90,7.5,0,3,3,0,3,480,0,105
"   3  x 1 cup, 720 ml"
 Dinner,921,32.14,18.123,129.75,13.7,19.3,25.63,2998,0,1213
  Red Curry Lentils with Sweet Potatoes and Spinach,770,30.27,17.716,101.05,12.3,16.86,21.3,2612,0,1156
   1.1 servings
  Bread,151,1.87,0.407,28.7,1.4,2.44,4.33,386,0,57
   2 oz
 Snacks/Other,120,10,0,4,4,0,4,640,0,140
  Silk Pure Almond Milk - Unsweetened Original,120,10,0,4,4,0,4,640,0,140
"   4  x 1 cup, 960 ml"

