#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, July 1, 2020","Friday, July 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1706,50.37,219.07,75.06
Breakfast,317,11.04,44.1,12.06
Lunch,350,9.14,49.63,15.31
Dinner,682,21.42,82.02,32.71
Snacks/Other,356,8.77,43.32,14.98

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
 Breakfast,880,30.21,10.075,112.99,8.7,8.88,36.92,1356,148,434
  Shrimp,82,1.33,0.253,0.7,0,0,15.67,348,117,100
"   4 oz, with shell raw (yield after cooking, shell removed)"
  Spaghetti,502,2.95,0.56,98.18,5.8,1.79,18.43,742,0,144
"   4 oz, dry, yields"
  Butter,102,11.52,7.294,0.01,0,0.01,0.12,2,31,3
   1 tbsp
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Green Giant Whole Kernel Sweet Corn,60,0.5,0,11,2,5,2,260,0,
"   1/2 cup, 123 g"
  Grape Tomatoes,14,0.16,0.036,3.1,0.9,2.08,0.7,4,0,187
   10 grape
  Pompeian Grapeseed Oil,60,7,1,0,0,0,0,0,0,
"   1/2  x 1 tbsp, 7.5 ml"
 Lunch,,,,,,,,,,
 Dinner,715,31.3,5.426,57.15,8.8,37.89,54.11,684,34,1362
  Sunsweet Dried Pitted Prunes,100,0,0,24,3,13,1,6,0,283
"   5 prunes, 40 g"
  Plain Yogurt,143,3.52,2.27,15.98,0,15.98,11.92,159,14,531
   1 serving (227 g)
  Blueberries,41,0.24,0.02,10.51,1.7,7.22,0.54,1,0,56
   1/2 cup
  Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
  Dry Roasted Almonds (with Salt Added),206,18.23,1.396,6.66,4.1,1.69,7.62,117,0,257
   1/4 cup whole kernels
 Snacks/Other,889,0,0,0.36,0,0,0,4,0,7
  Whiskey,889,0,0,0.36,0,0,0,4,0,7
   12.7 fl oz (no ice)

"Saturday, July 18, 2020",1534,75.65,11.413,147.09,21.64,56.4,74.49,2916.65,302,2009.2
 Breakfast,,,,,,,,,,
 Lunch,497,28.73,5.326,17.78,5.3,12.54,41.92,1099,232,823
  Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
