date,weight,calories,fat,saturated,carbohydrate,fiber,sugar,protein,sodium,cholesterol,potassium
"2020-12-27",197.5,1705.0,52.25,11.446,280.55,60.19,46.89,69.15,2627.76,29.0,2504.0
"2020-12-28",196.4,1691.0,74.34,14.553,200.91,23.6,28.07,66.33,1863.74,33.32,1494.82
"2020-12-29",197.0,1859.0,78.82,20.081,211.94,28.8,35.05,84.55,4035.52,79.1,2232.1
"2020-12-30",196.0,1582.0,84.88,31.549,134.84,8.7,17.92,57.32,1784.0,416.0,826.0
"2020-12-31",195.7,2380.0,42.27,22.69,237.88,14.1,58.67,56.68,2118.0,199.0,2895.0
"2021-01-01",198.4,1579.0,68.91,27.232,193.63,16.9,39.52,50.74,2141.0,205.0,1760.0
"2021-01-02",196.9,1639.0,47.29,14.346,237.86,57.2,42.36,98.6,1775.8,118.95,3181.64
"2021-01-03",197.3,1827.0,32.98,19.427,130.32,11.0,11.74,22.67,1089.0,0.0,3052.0
"2021-01-04",196.9,2255.0,52.54,18.986,279.48,16.1,13.29,70.37,2733.0,142.0,2181.0
"2021-01-05",197.5,2545.0,24.58,8.653,148.66,22.4,30.36,41.59,713.0,445.0,3519.0
"2021-01-06",198.2,2663.0,58.86,25.659,217.61,22.2,33.65,89.07,447.0,212.0,4629.0
"2021-01-07",197.3,1869.0,61.67,31.68,149.71,15.9,39.91,42.65,997.0,739.0,2649.0
"2021-01-08",201.5,1554.0,58.88,20.674,146.45,18.0,35.03,100.83,2939.0,550.0,619.0
"2021-01-09",,1568.0,70.71,24.041,127.92,14.5,25.05,105.66,2098.0,719.0,1639.0
"2021-01-10",197.1,2352.0,25.64,12.104,188.79,10.9,21.77,61.97,1292.0,58.0,2696.0
"2021-01-11",197.1,1736.0,56.78,23.996,209.18,34.34,46.3,107.45,2829.92,125.28,2345.62
"2021-01-12",197.8,3605.0,73.16,52.319,405.93,63.7,81.98,73.12,4536.0,0.0,2951.0
"2021-01-13",198.4,1519.0,72.75,25.243,134.86,9.1,45.2,82.01,2691.5,709.0,1117.0
"2021-01-14",199.3,1667.0,62.45,16.242,175.25,16.5,22.04,53.8,1125.0,53.0,2023.0
"2021-01-15",,,,,,,,,,,
"2021-01-16",198.9,1772.0,55.07,13.209,166.42,34.88,28.86,107.56,3741.0,611.0,1435.0
"2021-01-17",198.9,1545.0,44.29,12.994,218.53,21.1,47.77,72.71,4435.0,44.0,1341.0
"2021-01-18",199.3,1773.0,12.13,3.712,196.13,12.1,12.41,34.03,1941.0,212.0,1853.0
"2021-01-19",,,,,,,,,,,
"2021-01-20",200.2,,,,,,,,,,
"2021-01-21",199.1,430.0,10.03,1.84,42.42,2.3,7.0,38.49,1123.0,20.0,307.0
"2021-01-22",200.4,1384.0,38.18,16.285,212.41,50.75,38.14,59.7,5008.0,72.0,2253.0
"2021-01-23",197.5,2701.0,53.29,14.266,177.38,16.4,36.49,103.67,2759.0,464.0,2593.0
"2021-01-24",201.1,1378.0,48.99,20.092,178.08,23.95,43.51,60.05,4562.98,76.39,2493.06
"2021-01-25",199.3,,,,,,,,,,
"2021-01-26",198.6,,,,,,,,,,
"2021-01-27",201.5,1621.0,65.51,37.152,182.47,32.7,41.52,74.63,4698.0,20.0,2572.0
"2021-01-28",198.2,715.0,33.34,6.504,54.17,5.8,2.41,50.43,1262.0,131.0,1061.0
"2021-01-29",195.6,,,,,,,,,,
"2021-01-30",198.4,255.0,3.21,1.554,44.19,3.49,11.55,12.3,516.64,11.76,549.21
"2021-01-31",,1724.0,39.87,8.86,296.78,58.9,38.35,60.84,3317.87,32.92,4504.78
"2021-02-01",199.1,,,,,,,,,,
"2021-02-02",200.4,2197.0,68.48,24.502,154.43,15.3,42.7,96.64,3459.52,175.11,1770.44
"2021-02-03",199.5,2705.0,35.5,13.0,144.4,3.0,25.67,51.54,1383.0,65.0,2404.0
"2021-02-04",198.9,1512.0,74.99,17.778,107.64,7.5,12.35,113.12,2391.11,306.04,609.88
"2021-02-05",198.0,,,,,,,,,,
"2021-02-06",202.8,,,,,,,,,,
"2021-02-07",203.9,1558.0,29.05,10.537,253.14,40.59,25.62,70.01,5293.16,37.4,2890.06
"2021-02-08",201.1,2007.0,44.72,21.43,176.82,4.0,5.02,79.7,2315.0,91.0,877.0
"2021-02-09",199.3,1680.0,72.34,19.382,189.99,19.5,39.66,75.86,5458.0,160.0,1841.0
"2021-02-10",199.7,1289.0,18.79,10.857,156.44,8.1,10.3,23.73,2218.0,0.0,1145.0
"2021-02-11",199.3,419.0,14.15,7.95,52.67,3.0,0.54,19.25,927.0,28.0,45.0
"2021-02-12",200.2,729.0,27.58,12.049,60.13,3.4,0.61,57.33,1369.0,167.0,931.0
"2021-02-13",202.4,,,,,,,,,,
"2021-02-14",200.6,2455.0,43.76,18.455,214.5,19.7,36.12,33.38,3945.0,0.0,2229.0
"2021-02-15",202.4,263.0,9.2,3.44,34.65,4.0,4.18,10.62,413.52,19.11,81.44
"2021-02-16",201.3,,,,,,,,,,
"2021-02-17",200.6,,,,,,,,,,
"2021-02-18",200.8,,,,,,,,,,
"2021-02-19",201.3,,,,,,,,,,
"2021-02-20",202.6,1667.0,63.85,25.467,193.59,8.1,16.6,74.28,2810.5,538.0,448.0
"2021-02-21",200.8,2077.0,31.36,7.063,271.66,11.54,11.99,29.78,1870.37,18.0,506.39
"2021-02-22",200.2,1454.0,38.42,15.518,182.61,27.1,15.95,51.73,2146.0,68.0,1934.0
"2021-02-23",200.2,,,,,,,,,,
"2021-02-24",200.2,,,,,,,,,,
"2021-02-25",201.1,,,,,,,,,,
"2021-02-26",201.5,1422.0,24.73,11.099,159.5,18.98,17.54,63.81,3828.8,64.0,356.0
"2021-02-27",200.8,,,,,,,,,,
"2021-02-28",201.1,,,,,,,,,,
"2021-03-01",204.4,,,,,,,,,,
"2021-03-02",204.4,2627.0,105.44,35.892,188.9,24.6,39.06,97.62,3433.63,841.54,3059.0
"2021-03-03",202.6,,,,,,,,,,
"2021-03-04",,,,,,,,,,,
"2021-03-05",201.1,,,,,,,,,,
"2021-03-06",202.8,,,,,,,,,,
