#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, April 1, 2020","Thursday, April 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Brown Rice,268,2.17,0.437,55.53,4.4,0.85,6.24,734,0,105
   1 1/4 cups cooked
  Goya Garbanzo Beans,50,1,0,10,3.5,0,3,180,0,0
"   1/2  x 1/2 cup, 61 g"
  Carrots,50,0.29,0.045,11.69,3.4,5.54,1.13,84,0,390
   2 medium
  Red Onions,23,0.04,0.014,5.56,0.8,2.35,0.51,2,0,
   1/2 medium
  Sesame Oil,120,13.6,1.931,0,0,0,0,0,0,
   1 tbsp
  Peanut Oil,239,27,4.563,0,0,0,0,0,0,
   2 tbsps
  Potato Flour,18,0.02,0.004,4.15,0.3,0.18,0.34,3,0,50
   5 g
  Kikkoman  Soy Sauce,20,0,0,2,0,0,4,1840,0,
"   2  x 1 tbsp, 30 ml"
  Publix Red Bell Pepper,60,0,0,16,4,0,2,0,0,
"   2  x 1 medium pepper, 296 g"
  Celery,11,0.14,0.034,2.38,1.3,1.46,0.55,64,0,208
   2 stalks medium (7-1/2" - 8" long)
 Snacks/Other,,,,,,,,,,

"Saturday, April 18, 2020",1784,44.67,6.058,222.2,31.28,51.86,136.62,3834.9,50,2415.18
 Breakfast,,,,,,,,,,
 Lunch,375,21.69,3.207,0.42,0.3,0.04,42.8,819,50,399
  Tuna in Water (Canned),194,1.37,0.391,0,0,0,42.6,564,50,396
"   1 can (6.5 oz), drained"
  Olive Oil,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Capers,2,0.07,0.02,0.42,0.3,0.04,0.2,255,0,3
   1 tbsp drained
 Dinner,1409,22.98,2.851,221.78,30.98,51.82,93.82,3015.9,0,2016.18
  Sea Cuisine Cod Loins,291,2.43,0,0,0,0,60.72,242.9,,
   340 g
  Red Potatoes (Flesh and Skin),153,0.3,0.055,33.87,3.6,2.13,4.03,13,0,969
   1 medium (2-1/4" to 3-1/4" dia)
  Olive Oil,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Publix Yukon Gold Potatoes,186,0,0,43.91,3.38,1.69,5.07,0,0,1047.18
   250 g
  Trader Joe's Cowboy Caviar,600,0,,144,24,48,24,2760,0,
"   24  x 2 tbsp, 768 g"
 Snacks/Other,,,,,,,,,,

"Sunday, April 19, 2020",1730,71.99,23.821,190.27,15.8,17.12,80.06,2623.5,701.95,1509
 Breakfast,,,,,,,,,,
 Lunch,838,63.22,20.889,29.44,4.6,7.03,43.53,535,686,717
  Roasted Salted Cashew Nuts,329,27.09,4.807,17.1,1.9,2.84,9.55,175,0,358
   2 oz (18 kernels)
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Garbanzo Beans,35,0.59,0.061,5.9,1.7,1.04,1.88,48,0,
   0.12 cup
  Hot Chili Pepper,9,0.07,0.007,2.06,0.3,1.17,0.44,2,0,74
   1/2 pepper
  Swiss Cheese,152,11.12,7.112,2.15,0,0.53,10.77,77,37,31
   40 g
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
