date,start,finish,state
"2020-08-23",86190,86400,"deep"
"2020-08-24",0,240,"deep"
"2020-08-24",240,360,"light"
"2020-08-24",360,1260,"wake"
"2020-08-24",1260,1770,"light"
"2020-08-24",1770,2730,"rem"
"2020-08-24",2730,5190,"light"
"2020-08-24",5190,7260,"wake"
"2020-08-24",7260,13020,"light"
"2020-08-24",13020,14460,"rem"
"2020-08-24",14460,15990,"wake"
"2020-08-24",15990,20400,"light"
"2020-08-24",20400,21240,"wake"
"2020-08-24",21240,22740,"light"
"2020-08-24",22740,23040,"deep"
"2020-08-24",23040,26670,"light"
"2020-08-24",26670,28500,"rem"
"2020-08-24",28500,28620,"light"
"2020-08-24",28620,29040,"wake"
"2020-08-24",29040,30840,"light"
"2020-08-24",30840,31770,"rem"
"2020-08-24",31770,34260,"light"
"2020-08-24",34260,38730,"rem"
"2020-08-24",38730,39540,"light"
"2020-08-24",82740,82770,"wake"
"2020-08-24",82770,85740,"light"
"2020-08-24",85740,86220,"wake"
"2020-08-24",86220,86400,"light"
"2020-08-25",0,3210,"light"
"2020-08-25",3210,4200,"wake"
"2020-08-25",4200,4440,"light"
"2020-08-25",4440,4920,"wake"
"2020-08-25",4920,5430,"light"
"2020-08-25",5430,8550,"deep"
"2020-08-25",8550,10260,"light"
"2020-08-25",10260,10860,"deep"
"2020-08-25",10860,11040,"light"
"2020-08-25",11040,11340,"rem"
"2020-08-25",11340,12510,"light"
"2020-08-25",12510,13440,"deep"
"2020-08-25",13440,15960,"wake"
"2020-08-25",15960,16980,"light"
"2020-08-25",16980,18960,"deep"
"2020-08-25",18960,20190,"light"
"2020-08-25",20190,24690,"rem"
"2020-08-25",24690,25230,"light"
"2020-08-25",25230,29070,"rem"
"2020-08-25",29070,30900,"light"
"2020-08-25",30900,32880,"rem"
"2020-08-25",32880,34260,"light"
"2020-08-25",34260,34530,"rem"
"2020-08-25",34530,35490,"light"
"2020-08-25",79920,79950,"wake"
"2020-08-25",79950,85050,"light"
"2020-08-25",85050,86160,"deep"
"2020-08-25",86160,86400,"light"
"2020-08-26",0,600,"light"
"2020-08-26",600,1110,"deep"
"2020-08-26",1110,2910,"wake"
"2020-08-26",2910,3930,"light"
"2020-08-26",3930,4830,"wake"
"2020-08-26",4830,5550,"light"
"2020-08-26",5550,5760,"wake"
"2020-08-26",5760,6060,"light"
"2020-08-26",6060,9360,"deep"
"2020-08-26",9360,10920,"light"
"2020-08-26",10920,12540,"wake"
"2020-08-26",12540,14190,"light"
"2020-08-26",14190,15270,"deep"
"2020-08-26",15270,15840,"light"
"2020-08-26",15840,16110,"wake"
"2020-08-26",16110,17160,"light"
"2020-08-26",17160,18120,"rem"
"2020-08-26",18120,22200,"light"
"2020-08-26",22200,22500,"rem"
"2020-08-26",22500,23940,"light"
"2020-08-26",23940,25740,"rem"
"2020-08-26",25740,26070,"light"
"2020-08-26",26070,26940,"rem"
"2020-08-26",52500,52560,"awake"
"2020-08-26",52560,52620,"restless"
"2020-08-26",52620,53400,"asleep"
"2020-08-26",53400,53460,"restless"
"2020-08-26",53460,53940,"asleep"
"2020-08-26",53940,54180,"restless"
"2020-08-26",54180,54240,"awake"
"2020-08-26",54240,54360,"restless"
"2020-08-26",54360,57000,"asleep"
"2020-08-26",57000,57120,"restless"
"2020-08-26",57120,58800,"asleep"
"2020-08-27",6960,12600,"light"
"2020-08-27",12600,13440,"deep"
"2020-08-27",13440,15420,"light"
"2020-08-27",15420,16410,"deep"
"2020-08-27",16410,17430,"light"
"2020-08-27",17430,18360,"rem"
"2020-08-27",18360,19590,"light"
"2020-08-27",19590,20760,"wake"
"2020-08-27",20760,21900,"light"
"2020-08-27",21900,22380,"wake"
"2020-08-27",22380,23460,"deep"
"2020-08-27",23460,25320,"light"
"2020-08-27",25320,26610,"deep"
"2020-08-27",26610,29520,"light"
"2020-08-27",29520,31680,"wake"
"2020-08-27",31680,33420,"light"
"2020-08-27",33420,33750,"deep"
"2020-08-27",33750,35550,"light"
"2020-08-27",35550,35880,"rem"
"2020-08-27",35880,36630,"light"
"2020-08-27",36630,36900,"rem"
"2020-08-27",36900,38160,"light"
"2020-08-27",38160,44940,"rem"
"2020-08-27",83460,83640,"light"
"2020-08-27",83460,83640,"light"
"2020-08-27",83640,85740,"deep"
"2020-08-27",83640,85740,"deep"
"2020-08-27",85740,86070,"light"
"2020-08-27",85740,86070,"light"
"2020-08-27",86070,86400,"wake"
